NAME                                VERSION                             TYPE           
@babel/runtime                      7.29.2                              npm             
@mikespub/epubjs-reader             2026.1.24                           npm             
@mikespub/web-comic-reader          2026.1.24                           npm             
acl-libs                            2.3.2-r1                            apk             
alpine-baselayout                   3.7.2-r1                            apk             
alpine-baselayout-data              3.7.2-r1                            apk             
alpine-keys                         2.6-r0                              apk             
alpine-release                      3.24.1-r0                           apk             
aom-libs                            3.14.1-r0                           apk             
apache2-utils                       2.4.68-r0                           apk             
apk-tools                           3.0.7-r0                            apk             
apr                                 1.7.6-r0                            apk             
apr-util                            1.6.3-r2                            apk             
argon2-libs                         20190702-r5                         apk             
balanced-match                      4.0.4                               npm             
bash                                5.3.9-r1                            apk             
bootstrap                           3.4.1                               npm             
brace-expansion                     5.0.6                               npm             
brotli-libs                         1.2.0-r1                            apk             
busybox                             1.37.0-r31                          apk             
busybox-binsh                       1.37.0-r31                          apk             
c-ares                              1.34.8-r0                           apk             
ca-certificates                     20260611-r0                         apk             
ca-certificates-bundle              20260611-r0                         apk             
catatonit                           0.2.1-r0                            apk             
composer                            2.10.2                              binary          
corejs-typeahead                    1.3.4                               npm             
coreutils                           9.11-r0                             apk             
coreutils-env                       9.11-r0                             apk             
coreutils-fmt                       9.11-r0                             apk             
coreutils-sha512sum                 9.11-r0                             apk             
curl                                8.21.0-r0                           apk             
dot                                 1.1.3                               npm             
dot-express-example                 0.0.1                               npm             
findutils                           4.10.0-r1                           apk             
foreachasync                        3.0.0                               npm             
freetype                            2.14.3-r0                           apk             
git                                 2.54.0-r0                           apk             
git-init-template                   2.54.0-r0                           apk             
github.com/beevik/etree             v1.1.0                              go-module       
github.com/kr/smartypants           v0.1.0                              go-module       
github.com/pgaskin/kepubify/_/html  v0.0.0-20211223234002-6ee2cc632cdc  go-module       
github.com/pgaskin/kepubify/v4      UNKNOWN                             go-module       
github.com/spf13/pflag              v1.0.5                              go-module       
golang.org/x/sync                   v0.0.0-20210220032951-036812b2e83c  go-module       
golang.org/x/text                   v0.3.6                              go-module       
icu-data-full                       78.1-r0                             apk             
icu-libs                            78.1-r0                             apk             
jq                                  1.8.1-r0                            apk             
jquery                              3.7.1                               npm             
js-cookie                           3.0.8                               npm             
libapk                              3.0.7-r0                            apk             
